cap-shape,cap-surface,cap-color,bruises,odor,gill-spacing,gill-size,gill-color,ring-number,ring-type,spore-print-color,population,habitat,label
s,n,t,p,f,n,k,e,p,k,s,u,x,p
s,y,t,a,f,b,k,e,p,n,n,g,x,e
s,w,t,l,f,b,n,e,p,n,n,m,b,e
y,w,t,p,f,n,n,e,p,k,s,u,x,p
s,g,f,n,f,b,k,t,e,n,a,g,x,e
y,y,t,a,f,b,n,e,p,k,n,g,x,e
s,w,t,a,f,b,g,e,p,k,n,m,b,e
y,w,t,l,f,b,n,e,p,n,s,m,b,e
y,w,t,p,f,n,p,e,p,k,v,g,x,p
s,y,t,a,f,b,g,e,p,k,s,m,b,e
y,y,t,l,f,b,g,e,p,n,n,g,x,e
y,y,t,a,f,b,n,e,p,k,s,m,x,e
s,y,t,a,f,b,w,e,p,n,s,g,b,e
y,w,t,p,f,n,k,e,p,n,v,u,x,p
f,n,f,n,f,b,n,t,e,k,a,g,x,e
f,g,f,n,f,n,k,e,p,n,y,u,s,e
f,w,f,n,f,b,k,t,e,n,a,g,f,e
s,n,t,p,f,n,n,e,p,k,s,g,x,p
y,w,t,p,f,n,n,e,p,n,s,u,x,p
s,n,t,p,f,n,k,e,p,n,s,u,x,p
s,y,t,a,f,b,k,e,p,n,s,m,b,e
y,n,t,p,f,n,n,e,p,n,v,g,x,p
y,y,t,l,f,b,k,e,p,n,s,m,b,e
y,w,t,a,f,b,w,e,p,n,n,m,b,e
s,w,t,l,f,b,g,e,p,k,s,m,b,e
s,w,t,p,f,n,n,e,p,n,v,g,f,p
y,y,t,a,f,b,n,e,p,n,n,m,x,e
y,w,t,l,f,b,w,e,p,n,n,m,x,e
f,n,f,n,f,n,k,e,p,k,y,u,f,e
s,y,t,a,f,n,n,t,p,n,v,d,x,e
s,y,t,l,f,b,g,e,p,n,n,m,b,e
y,w,t,p,f,n,k,e,p,n,s,u,x,p
y,y,t,l,f,b,n,e,p,n,n,m,x,e
y,n,t,l,f,b,p,e,p,n,y,p,x,e
y,y,t,l,f,b,n,e,p,n,s,m,b,e
f,y,t,l,f,n,w,t,p,n,v,d,x,e
f,g,f,n,f,n,k,e,p,k,v,u,s,e
y,n,t,p,f,n,w,e,p,n,s,u,x,p
f,y,t,a,f,n,p,t,p,n,v,d,x,e
s,y,t,l,f,b,k,e,p,k,s,m,b,e
y,y,t,a,f,b,n,e,p,n,s,g,b,e
y,y,t,l,f,b,n,e,p,k,y,p,x,e
f,n,f,n,f,n,g,e,p,k,y,u,x,e
y,w,t,p,f,n,p,e,p,n,v,g,x,p
s,y,t,a,f,b,w,e,p,k,n,m,x,e
y,w,t,a,f,b,n,e,p,n,n,g,x,e
y,y,t,l,f,b,k,e,p,k,s,m,x,e
s,w,t,l,f,b,w,e,p,n,n,m,x,e
y,y,t,l,f,b,n,e,p,n,s,p,x,e
y,y,t,l,f,b,w,e,p,k,s,p,f,e
y,n,t,a,f,b,w,e,p,k,s,g,x,e
s,w,t,l,f,b,k,e,p,k,s,g,x,e
s,w,t,l,f,b,k,e,p,n,n,m,b,e
y,n,t,p,f,n,k,e,p,n,v,u,x,p
s,w,t,p,f,n,k,e,p,k,v,u,x,p
y,y,t,a,f,b,w,e,p,k,s,m,b,e
f,g,f,n,f,b,n,t,e,n,a,g,f,e
s,w,t,a,f,b,w,e,p,n,n,g,b,e
s,y,t,l,f,b,k,e,p,k,n,g,x,e
y,n,t,a,f,b,p,e,p,k,y,p,x,e
f,g,f,n,f,n,k,e,p,n,v,u,s,e
y,y,t,a,f,b,k,e,p,n,s,m,b,e
s,y,t,l,f,b,g,e,p,n,s,m,b,e
y,y,t,l,f,b,g,e,p,n,n,m,b,e
y,w,t,l,f,b,n,e,p,n,s,g,b,e
s,n,f,n,f,b,k,t,e,k,a,g,f,e
s,w,t,l,f,b,n,e,p,k,s,g,x,e
y,y,t,a,f,b,w,e,p,n,s,g,f,e
y,y,t,a,f,b,w,e,p,k,n,g,x,e
f,g,f,n,f,n,p,e,p,n,v,u,x,e
f,y,t,l,f,n,p,t,p,n,v,d,f,e
y,w,t,l,f,b,g,e,p,n,s,m,b,e
f,y,t,l,f,n,w,t,p,n,v,d,f,e
y,n,t,a,f,b,p,e,p,k,s,p,x,e
s,y,t,a,f,b,k,e,p,k,s,g,b,e
s,y,t,l,f,n,p,t,p,n,v,d,f,e
s,w,t,l,f,n,n,t,p,u,v,d,x,e
y,n,t,l,f,b,p,e,p,n,y,p,f,e
y,n,t,p,f,n,w,e,p,n,v,u,x,p
y,n,t,a,f,b,n,e,p,n,y,g,f,e
s,n,f,n,f,b,k,t,e,n,s,g,x,e
y,w,t,p,f,n,w,e,p,k,s,g,x,p
f,g,f,n,f,n,n,e,p,n,y,u,f,e
f,g,f,n,f,b,n,t,e,n,s,g,x,e
y,y,t,l,f,b,w,e,p,k,s,g,x,e
s,n,f,n,f,b,k,t,e,k,s,g,x,e
s,w,t,a,f,b,w,e,p,k,s,g,b,e
s,w,t,l,f,b,n,e,p,n,s,g,x,e
y,n,t,l,f,b,w,e,p,k,y,g,f,e
f,n,f,n,f,n,n,e,p,n,v,u,s,e
f,n,f,n,f,n,n,e,p,n,y,u,x,e
s,w,t,l,f,b,k,e,p,k,s,g,b,e
y,y,t,a,f,b,g,e,p,k,s,g,x,e
y,y,t,l,f,b,g,e,p,k,n,m,x,e
s,n,f,n,f,b,n,t,e,n,a,g,x,e
s,w,t,a,f,b,g,e,p,n,s,g,x,e
y,n,t,l,f,b,p,e,p,n,s,g,f,e
s,y,t,a,f,b,n,e,p,k,n,g,x,e
s,w,t,a,f,b,g,e,p,n,s,g,b,e
y,w,t,a,f,b,g,e,p,k,s,g,x,e
f,n,f,n,f,b,p,t,e,k,s,g,x,e
s,y,t,l,f,b,n,e,p,k,n,g,b,e
y,y,t,l,f,b,w,e,p,n,s,g,f,e
y,y,t,a,f,b,n,e,p,k,y,p,x,e
y,w,t,l,f,b,g,e,p,n,n,g,b,e
y,y,t,a,f,b,n,e,p,k,n,m,x,e
y,y,t,a,f,b,w,e,p,n,y,g,x,e
y,w,t,l,f,b,n,e,p,k,s,m,b,e
y,w,t,a,f,b,g,e,p,n,s,m,b,e
s,y,t,a,f,b,k,e,p,k,n,m,x,e
s,y,t,l,f,b,w,e,p,k,n,g,x,e
f,g,f,n,f,n,g,e,p,k,y,u,s,e
f,w,t,a,f,n,w,t,p,u,v,d,x,e
s,y,t,a,f,b,n,e,p,k,n,m,x,e
y,w,t,p,f,n,n,e,p,n,v,u,x,p
y,y,t,l,f,b,p,e,p,n,s,g,x,e
f,g,f,n,f,n,p,e,p,n,y,u,s,e
y,y,t,l,f,b,w,e,p,k,y,g,x,e
s,y,t,l,f,n,p,t,p,u,v,d,x,e
f,n,f,n,f,n,k,e,p,n,y,u,s,e
s,w,t,p,f,n,k,e,p,k,v,g,x,p
y,w,t,a,f,b,g,e,p,n,n,m,x,e
y,n,t,p,f,n,p,e,p,k,v,g,f,p
s,g,f,n,f,b,k,t,e,n,a,g,f,e
s,y,t,l,f,b,g,e,p,n,s,m,x,e
s,w,f,n,f,b,n,t,e,k,s,g,x,e
s,y,t,a,f,b,w,e,p,n,n,g,b,e
f,g,f,n,f,b,h,t,e,n,a,g,f,e
s,w,t,l,f,b,n,e,p,k,n,g,x,e
s,w,t,l,f,b,n,e,p,n,s,m,b,e
s,w,t,l,f,b,w,e,p,n,s,g,b,e
y,w,t,l,f,b,w,e,p,n,s,m,b,e
s,w,t,l,f,n,w,t,p,u,v,d,f,e
y,y,t,l,f,b,g,e,p,k,s,m,x,e
s,w,t,a,f,n,p,t,p,n,v,d,f,e
y,w,t,p,f,n,w,e,p,n,v,u,x,p
f,w,t,l,f,n,w,t,p,n,v,d,f,e
y,y,t,a,f,b,n,e,p,n,s,g,x,e
s,n,t,p,f,n,p,e,p,n,v,g,x,p
s,y,t,l,f,b,w,e,p,n,n,g,b,e
y,n,t,a,f,b,w,e,p,k,y,p,x,e
y,y,t,l,f,b,g,e,p,k,n,m,b,e
f,n,f,n,f,n,k,e,p,n,v,u,s,p
y,n,t,a,f,b,w,e,p,k,y,p,f,e
y,y,t,a,f,b,k,e,p,k,n,g,x,e
f,g,f,n,f,b,k,t,e,k,s,g,x,e
f,w,f,n,f,b,k,t,e,n,a,g,f,e
y,y,t,l,f,b,w,e,p,n,n,m,x,p
s,y,t,l,f,b,k,e,p,k,n,g,b,e
y,w,t,a,f,b,g,e,p,k,n,m,b,p
y,w,t,a,f,b,w,e,p,n,s,g,x,e
s,n,f,n,f,b,p,t,e,n,a,g,x,e
y,w,t,l,f,b,g,e,p,n,s,g,x,e
f,n,f,n,f,n,k,e,p,k,v,u,s,p
s,w,t,a,f,n,w,t,p,u,v,d,x,p
y,n,t,l,f,b,w,e,p,k,s,g,x,e
y,y,t,a,f,b,k,e,p,n,n,g,b,p
y,w,t,a,f,b,k,e,p,n,n,g,x,e
y,w,t,a,f,b,n,e,p,k,s,m,b,p
s,y,t,a,f,b,g,e,p,k,s,g,b,e
s,y,t,l,f,b,g,e,p,k,s,m,b,e
y,y,t,a,f,b,n,e,p,k,n,g,b,e
f,n,f,n,f,n,k,e,p,n,y,u,x,e
y,n,t,l,f,b,n,e,p,n,y,g,f,e
y,w,t,a,f,b,k,e,p,n,s,g,x,e
y,y,t,l,f,b,w,e,p,n,y,p,f,e
s,w,t,a,f,b,w,e,p,n,s,g,b,e
s,w,t,a,f,b,w,e,p,k,s,m,b,e
y,n,t,l,f,b,w,e,p,k,y,g,x,e
s,w,t,a,f,b,k,e,p,k,s,g,b,e
f,g,f,n,f,n,g,e,p,n,y,u,x,e
s,y,t,l,f,b,k,e,p,n,s,g,b,e
f,y,t,l,f,n,n,t,p,u,v,d,x,e
y,y,t,a,f,b,w,e,p,k,s,g,b,e
y,y,t,l,f,b,p,e,p,n,s,g,f,e
y,w,t,l,f,b,w,e,p,k,n,m,b,e
y,w,t,a,f,b,k,e,p,k,n,m,b,e
y,y,t,a,f,b,g,e,p,n,s,g,b,e
y,y,t,l,f,b,g,e,p,n,n,m,x,e
s,y,t,l,f,b,g,e,p,n,n,g,b,e
y,w,t,p,f,n,p,e,p,n,v,u,x,p
f,n,f,n,f,n,g,e,p,n,y,u,s,e
f,n,f,n,f,n,g,e,p,k,v,u,f,e
s,y,t,a,f,b,g,e,p,n,s,m,x,e
y,n,t,a,f,b,p,e,p,k,s,p,f,e
y,w,t,p,f,n,k,e,p,k,s,g,x,p
s,w,t,l,f,b,g,e,p,n,s,m,b,e
f,g,f,n,f,n,p,e,p,k,v,u,f,e
y,y,t,l,f,b,g,e,p,n,n,g,b,e
y,n,t,a,f,b,w,e,p,n,y,p,x,e
f,w,f,n,f,b,p,t,e,k,s,g,x,e
s,w,t,l,f,n,w,t,p,n,v,d,x,e
s,w,t,l,f,b,w,e,p,n,s,m,b,e
s,y,t,a,f,n,w,t,p,n,v,d,f,e
s,y,t,a,f,b,k,e,p,n,n,m,x,e
f,g,f,n,f,n,g,e,p,n,y,u,f,e
s,y,t,a,f,b,n,e,p,k,s,g,b,e
s,w,t,l,f,b,g,e,p,n,n,m,x,e
y,w,t,l,f,b,n,e,p,n,s,m,x,e
s,w,t,a,f,n,n,t,p,n,v,d,f,e
y,y,t,l,f,b,w,e,p,n,s,g,x,e
s,w,t,l,f,b,w,e,p,k,s,g,b,e
s,w,t,a,f,b,g,e,p,k,n,g,x,e
f,w,f,n,f,b,h,t,e,k,s,g,x,e
y,n,t,l,f,b,n,e,p,k,y,p,f,e
s,w,t,p,f,n,k,e,p,n,v,u,x,p
s,w,t,a,f,b,n,e,p,n,n,g,b,e
s,w,t,a,f,b,k,e,p,k,s,m,b,e
y,w,t,l,f,b,n,e,p,n,n,g,b,e
y,w,t,a,f,b,w,e,p,k,n,g,b,e
s,y,t,a,f,b,w,e,p,k,s,g,x,e
s,w,t,l,f,b,w,e,p,k,n,m,b,e
f,y,t,a,f,n,n,t,p,n,v,d,x,e
f,g,f,n,f,n,n,e,p,n,y,u,x,e
y,y,t,a,f,b,n,e,p,n,s,g,f,e
s,w,t,l,f,b,n,e,p,k,n,m,b,e
s,y,t,a,f,b,g,e,p,k,s,g,x,e
y,y,t,a,f,b,k,e,p,k,s,g,x,e
y,w,t,l,f,b,w,e,p,n,s,g,x,e
f,g,f,n,f,n,p,e,p,n,v,u,s,e
s,w,t,a,f,b,n,e,p,n,n,m,x,e
s,w,t,p,f,n,k,e,p,k,s,g,x,p
y,y,t,a,f,b,n,e,p,n,s,g,x,e
f,w,t,a,f,n,p,t,p,n,v,d,f,e
y,w,t,l,f,b,g,e,p,k,n,m,x,e
y,w,t,l,f,b,n,e,p,k,s,g,b,e
s,w,t,a,f,b,g,e,p,n,n,g,x,e
s,y,t,a,f,b,g,e,p,n,s,g,x,e
y,n,t,p,f,n,p,e,p,k,v,u,x,p
s,y,t,a,f,b,n,e,p,n,n,g,b,e
f,g,f,n,f,n,n,e,p,k,y,u,x,e
y,w,t,p,f,n,k,e,p,k,s,u,x,p
y,y,t,l,f,b,n,e,p,n,y,p,x,e
f,n,f,n,f,n,k,e,p,k,v,u,f,e
s,w,t,l,f,b,k,e,p,n,n,g,b,e
f,w,t,l,f,n,w,t,p,n,v,d,x,e
y,w,t,l,f,b,w,e,p,k,s,g,x,e
y,y,t,l,f,b,n,e,p,n,s,g,b,e
y,y,t,l,f,b,n,e,p,k,s,g,x,e
y,y,t,a,f,b,p,e,p,k,s,p,f,e
y,y,t,a,f,b,w,e,p,k,y,p,f,e
s,w,t,l,f,b,w,e,p,k,s,g,x,e
s,w,t,a,f,b,w,e,p,n,n,m,x,e
s,w,t,p,f,n,n,e,p,k,v,u,x,p
f,w,t,a,f,n,p,t,p,u,v,d,f,e
s,w,t,l,f,b,w,e,p,n,s,g,x,e
s,w,t,l,f,n,p,t,p,u,v,d,x,e
